voiceID,meanF0_Hz,stdevF0_Hz,HNR
Andre,301.7847967230966,27.695332210051127,9.781651435914524
Andre,298.76215991812757,25.995786415513965,8.64514124731459
Andre,295.9714244213818,16.981707247687783,9.15955015335312
Andre,292.47937780307626,55.16188515271808,7.674030002826628
Andre,274.9110658486305,46.436540325415315,9.193846189309513
Andre,266.5070702927504,62.262971144369494,8.534885952651058
Andre,322.37181698170934,32.496300538506745,10.520016086209552
Andre,299.53853708077344,29.257703068565522,7.864803909947791
Andre,278.41800267695214,56.27970544907476,9.582766125775164
Andre,271.42557012768305,64.6828364754037,8.2002083637363
Andre,282.82219023939655,60.00266916850352,9.834263371976652
Andre,285.9148289580768,55.290432087703586,9.182536035601453
Andre,308.38105108916244,32.98365476529606,6.923523241391867
Andre,282.8021572546138,59.11526791506741,8.407371521241325
Andre,297.19952768994114,42.88553125783516,8.939526045259251
Andre,311.27124297140404,34.04151277236469,8.205380612444893
Andre,311.9423741530946,33.56125074959676,8.723453898343886
Andre,299.11039586761797,61.781938794397625,8.087081272839226
Andre,324.4645498372316,36.00177129872664,6.981432692215627
Andre,314.45333222563613,40.72035022957233,7.990749170632256
Andre,297.3840711475867,24.51598545259711,8.259489969151257
Andre,311.87219794761654,21.390503807876406,9.118200366464741
Andre,308.6065151077164,37.10315429205699,7.842492460119796
Andre,306.97915652506833,23.64347967266361,9.451614598888126
Andre,307.67218188966444,21.899885940107367,9.22231961529494
Andre,318.7963428363995,36.68796413018494,7.745789534185669
Andre,316.6586452096254,43.51152514585469,6.27370159420631
Andre,304.2154700906077,29.29905480811687,8.800859510974295
Andre,315.4183056657282,36.158824471255215,8.646867125310965
Andre,289.71469332543126,67.90896485389099,7.742268208749508
Andre,275.2080441390193,60.40411001878536,8.633421019423063
Andre,314.6911367703715,36.130810547262335,8.059486776318465
Andre,301.1344717808782,21.43093138158351,9.588723803602532
Andre,296.4743163815237,27.689138902079602,8.362790249612148
Andre,323.74529833112257,40.5153944231948,8.606855858355159
Andre,280.2024847952955,66.18610691455153,9.850031709490244
Andre,297.51936052138154,53.109545620850945,8.505390691600537
Andre,299.0230381647742,22.965789199007116,8.49724168813975
Andre,284.328264823195,54.51425139579032,7.767388253342379
Andre,293.9020341466611,49.49197242489854,8.80842809668658
Andre,306.57764436468386,35.539782260441996,8.353379819478905
Andre,291.95065137442134,46.702679443552086,8.257312676206668
Andre,299.37675293134015,41.923818643688904,8.889038146599823
Andre,290.4313608674669,43.50657829064047,8.503299525088146
Andre,292.99859920229187,35.96744582732655,7.345268193468362
Andre,298.4219715372813,29.064578847145505,7.944646545602255
Andre,288.1827834993731,24.807183249831404,9.168360572561602
Andre,298.5935473551379,43.51087595530263,8.630811605222005
Andre,287.1357961852131,37.1374250755305,8.57719838641045
Andre,259.63844124389914,56.951121872380604,8.511209753434686
Andre,305.9354743738201,32.33430822977834,8.071217263362808
Andre,318.19078016763666,39.85136940566912,8.251046189805088
Andre,298.73589967098945,48.846112593820344,9.306488809760786
Andre,292.33453487865233,26.831315922897037,8.117432680634185
Andre,274.86841191811766,60.848400276243645,7.777927216678183
Andre,256.0254203493968,68.05462149910986,7.880266645568618
Andre,297.60476272442685,31.81765377695768,7.813365655108347
Andre,309.0411523038923,36.977972268007626,8.533277715506376
Andre,276.172148270576,53.54871374172035,8.645748235623364
Andre,311.7895308735642,38.81476360662817,8.89690720964384
Andre,251.18819340665002,77.77784293546136,7.511786227108052
Andre,331.3731345685269,53.686605017928336,7.0864892133450095
Andre,272.330436809747,51.780954642672874,7.19037920035118
Andre,273.325190240297,61.59458097612023,6.983673005291716
Andre,304.1149642836624,50.66195393008418,8.388496836513564
Andre,326.4046096320904,43.406974506524065,8.28283484676794
Andre,295.7080654039424,58.83786310972375,7.40909537579347
Andre,303.3796389225185,51.177418708587794,7.733137911296323
Andre,308.7977342112097,61.95870376457297,6.955913660389408
Andre,324.6292201981723,58.04794392986262,7.828616948189733
Andre,288.5672748024557,36.93528105186618,7.675063154992312
Andre,276.81048874511606,61.16345731118191,9.457461001916972
Andre,315.8521557863383,53.011807443409694,7.668813645726264
Andre,316.4818809027607,46.9393048489498,8.554935200951533
Andre,286.92214465874116,42.60620324484608,6.561273416014347
Andre,298.91221208553793,50.03248336275809,7.635728534066574
Andre,308.22087545046577,32.414762589648404,8.42055581786723
Andre,345.1691600175582,60.04970135256219,7.8693855065014935
Andre,299.9127368364444,45.40412313722192,7.4871387182179925
Andre,347.1377010038139,40.60481735460658,8.593909235467532
Andre,321.8458536769596,36.976548425089874,8.341868385561215
Andre,328.2362310980657,40.376905310049565,7.475614022901742
Andre,289.0461931768471,64.21121735305503,7.900476301035469
Andre,293.37450423909695,53.72349775086969,7.168896139042976
Andre,329.3773062642686,43.32205321549433,7.1418946553314635
Andre,311.36098149123734,34.4334313700173,8.219748888396225
Andre,285.1999000772918,55.51961796767747,8.091816448608672
Andre,289.46434754353425,54.06408770850598,7.69038750626029
Andre,309.10259455095945,37.2369040919494,7.255609105451182
Andre,305.4602991131945,41.08401008595375,7.63551112606621
Andre,316.6248801195587,35.314150961406376,7.8462968891597935
Andre,322.13663994734435,37.28433624281779,8.730964562896888
Andre,315.7641748412878,28.948280257826582,6.19355867898046
Andre,317.50219076957495,35.88780738313318,8.152613817282253
Andre,332.6017231173619,42.12779766362851,7.96741148476124
Andre,316.8794279411464,29.625785312150082,7.335325037958259
Andre,316.5008745043384,38.23545032761343,7.1779323743264785
Andre,333.5158496775571,35.73017507466212,7.653209241678779
