voiceID,meanF0_Hz,harmonics,percurssives
Andre,164.2436135840145,0.0,2e-06
Andre,164.40522709928428,-0.0,2e-06
Andre,153.74995962490323,0.0,2e-06
Andre,158.36512101053628,-0.0,-1e-06
Andre,161.93408999895578,0.0,1e-06
Andre,157.92819474019197,-0.0,-0.0
Andre,156.66261599932108,0.0,2e-06
Andre,160.65358374672613,0.0,3e-06
Andre,153.09979251319885,0.0,-3e-06
Andre,162.50866959858976,-0.0,-0.0
Andre,160.1544581552327,-0.0,-1e-06
Andre,158.18548503245978,0.0,1e-06
Andre,152.86682449341768,0.0,3e-06
Andre,154.65101952267483,-0.0,-2e-06
Andre,150.30113938555237,0.0,1e-06
Andre,152.1052270226491,-0.0,-2e-06
Andre,157.23212091225585,-0.0,1e-06
Andre,150.2940786025063,0.0,-1e-06
Andre,159.57480171013339,-0.0,-2e-06
Andre,146.8070271323924,0.0,1e-06
Andre,158.8607592411798,-0.0,-2e-06
Andre,153.78188824536747,-0.0,-1e-06
Andre,147.61836868922958,-0.0,-1e-06
Andre,148.31469070464527,0.0,1e-06
Andre,151.90200213945974,0.0,0.0
Andre,152.33569256712022,-0.0,-1e-06
Andre,154.40875804459532,-0.0,-2e-06
Andre,145.02768229061488,0.0,0.0
Andre,149.48493398795276,0.0,0.0
Andre,144.84122550532672,-0.0,-3e-06
Andre,154.36715229621606,0.0,0.0
Andre,151.98947226752134,-0.0,-0.0
Andre,151.65660814589168,0.0,2e-06
Andre,144.765071212357,-0.0,-0.0
Andre,153.4146441889097,-0.0,-2e-06
Andre,150.3019545023804,0.0,1e-06
Andre,149.08365505279963,-0.0,0.0
Andre,153.83195228018022,0.0,0.0
Andre,150.17640660062574,0.0,0.0
Andre,150.5706654555145,0.0,-0.0
Andre,156.2296229885933,0.0,2e-06
Andre,163.62866098812464,-0.0,-3e-06
Andre,151.10633543916597,0.0,2e-06
Andre,153.22701688571485,-0.0,-1e-06
Andre,151.77389811777962,0.0,1e-06
Andre,149.75067141605516,-0.0,-0.0
Andre,156.57353496682958,0.0,1e-06
Andre,152.20731732657242,0.0,1e-06
Andre,148.1117963604585,0.0,0.0
Andre,154.5758307870574,-0.0,-1e-06
Andre,157.74102138744476,0.0,2e-06
Andre,150.68976751473798,-0.0,-1e-06
Andre,157.7507593059033,-0.0,0.0
Andre,151.9454917356296,-0.0,-3e-06
Andre,154.26885007103314,-0.0,-2e-06
Andre,154.81010379593985,-0.0,-2e-06
Andre,148.81425543244313,0.0,4e-06
Andre,144.90099426020828,0.0,1e-06
Andre,154.89598005031985,0.0,1e-06
Andre,153.081987550451,0.0,1e-06
Andre,156.883581958679,0.0,1e-06
Andre,154.7156972940146,-0.0,-1e-06
Andre,151.9926140970317,0.0,1e-06
Andre,155.1231032536638,0.0,-0.0
Andre,154.65250432564818,-0.0,-1e-06
Andre,157.18079014063426,-0.0,-1e-06
Andre,150.43734625201878,-0.0,-3e-06
Andre,155.1410619297913,0.0,0.0
Andre,150.21647686053365,0.0,2e-06
Andre,165.73811993683682,0.0,2e-06
Andre,155.61470450128004,0.0,1e-06
Andre,153.48198580662478,0.0,1e-06
Andre,150.42811053493793,0.0,1e-06
Andre,166.28465601460292,-0.0,-1e-06
Andre,152.59509760236543,0.0,1e-06
Andre,157.1355255337296,-0.0,-0.0
Andre,157.61287466955855,0.0,1e-06
Andre,155.0597362309816,-0.0,-1e-06
Andre,153.33137706030823,0.0,2e-06
Andre,150.52159231407373,0.0,1e-06
Andre,149.46810602346017,-0.0,0.0
Andre,156.79027659759032,0.0,2e-06
Andre,154.69664914895412,-0.0,-2e-06
Andre,148.78590893736646,-0.0,-0.0
Andre,146.73413586300708,0.0,2e-06
Andre,139.42422176827392,0.0,1e-06
Andre,146.44429704368991,-0.0,-0.0
Andre,150.1523827348704,-0.0,-1e-06
Andre,152.48612434818256,0.0,2e-06
Andre,152.97111958551747,0.0,-2e-06
Andre,148.3871274782648,-0.0,0.0
Andre,150.49048925796674,-0.0,-1e-06
Andre,150.97234330004267,-0.0,-0.0
Andre,144.40242670075392,0.0,2e-06
Andre,148.41883660133794,-0.0,1e-06
Andre,150.12436298005576,0.0,0.0
Andre,145.65002013588492,-0.0,-1e-06
Andre,152.96264389350858,0.0,3e-06
Andre,165.15065625881434,-0.0,-1e-06
Andre,150.64026122547517,-0.0,-0.0
Andre,164.8717988040222,-0.0,-2e-06
Andre,165.24847841676151,0.0,-1e-06
Andre,148.264365479912,-0.0,0.0
Andre,160.13615825487736,-0.0,-1e-06
Andre,161.92716771259873,0.0,3e-06
Andre,153.70998747305566,0.0,0.0
