ca,cha,chu,da,far,la,pa,ri,sa,ta,va,ve,accuracy,macro avg,weighted avg
0.5454545454545454,0.8823529411764706,0.8,0.14285714285714285,0.75,0.75,0.6071428571428571,0.7333333333333333,0.0,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.6018518518518519,0.5453728461081402,0.6018603400956343
0.75,0.8333333333333334,0.8888888888888888,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.4722222222222222,0.6111111111111112,0.0,0.6,0.25,0.3333333333333333,0.6018518518518519,0.5337962962962963,0.6018518518518519
0.631578947368421,0.8571428571428571,0.8421052631578948,0.15384615384615383,0.7894736842105262,0.7058823529411765,0.53125,0.6666666666666666,0.0,0.5,0.28571428571428575,0.4210526315789474,0.6018518518518519,0.5320594035522441,0.593472451396213
24.0,18.0,18.0,6.0,18.0,18.0,36.0,18.0,6.0,30.0,12.0,12.0,0.6018518518518519,216.0,216.0
